OBJECTID,UNIQUE_ID,Pentad NAME,PENTAD,VEG NAME CENTROID,Veg Extent,Veg_WEIGHT,MAX_OF_PROPORTION,ACCESSIBLE,PREFERRED Pentad,SG_APPLICATION,BIOREGION,Rain_season,Elev_range,Elev,MAP_CTN,PEMO,Chill,MinT_07,MAP,Frost,MeanT_02,APAN,MeanT_07,GDD0,GDD5,MTCO,MTWA,AETPET,WET,DRY,tri_mean,tri_sd,tri_med
1646,4150,Eastern Cape_3305_2520,3305_2520,Albany Broken Veld,1647.9217,6364,92,1,0,Buffer,Lower Karoo Bioregion,6,166,382.8067,24.56,1745.96,201.404,5,296.04,4.92,23.28,2194.644,12.08,6539.8,4714.8,11.8,23.2,0.297,0,-65.3,70.052968,30.28328686,63.71028174
1647,4151,Eastern Cape_3305_2525,3305_2525,Sundays Thicket,5235.6498,6189,92,1,0,Buffer,Albany Thicket,6,284,481.0949,23.52,1707.8,283.364,4.4,307.32,6.16,22.84,2147.1919,12,6539.8,4714.8,11.8,23.2,0.297,0,-65.3,123.3462898,85.06458816,89.29165695
1648,4152,Eastern Cape_3305_2530,3305_2530,Albany Broken Veld,1647.9217,6648,92,1,0,Buffer,Lower Karoo Bioregion,6,218,568.7661,23.04,1653.4,352.932,4.2,336.28,7.88,22.12,2079.032,11.72,6344.4,4519.4,12,22.2,0.378,0,-35.4,98.72872877,60.15522154,82.96384755
1649,4153,Eastern Cape_3305_2535,3305_2535,Albany Broken Veld,1647.9217,6487,92,1,0,Buffer,Lower Karoo Bioregion,5.8,191,584.8523,22.24,1617.52,370.484,4.24,342.84,7.24,21.92,2033.9559,11.68,6344.4,4519.4,12,22.2,0.378,0,-35.4,104.2634095,83.99194534,71.08445681
1650,4154,Eastern Cape_3305_2540,3305_2540,Kowie Thicket,2248.6542,5977,95,1,0,Buffer,Albany Thicket,6,241,568.447,22.52,1604.84,352.26,4.72,366,5.64,21.84,2018.3199,11.88,6344.4,4519.4,12,22.2,0.378,0,-35.4,147.3310593,114.7916695,111.6467644
1651,4155,Eastern Cape_3305_2545,3305_2545,Kowie Thicket,2248.6542,4790,95,1,0,Buffer,Albany Thicket,6,296,567.1274,22.8,1591.48,344.112,4.84,386.96,5,21.84,2001.884,12,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,226.2546453,148.9794294,184.5643519
1652,4156,Eastern Cape_3305_2550,3305_2550,Albany Broken Veld,1647.9217,5574,95,1,0,Buffer,Lower Karoo Bioregion,6,298,542.8872,22.8,1582,330.188,5,379.96,4.4,21.88,1989.632,12,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,196.9828395,141.1693869,145.8046638
1653,4157,Eastern Cape_3305_2555,3305_2555,Kowie Thicket,2248.6542,5478,95,1,0,Buffer,Albany Thicket,6,291,525.3658,22.4,1554.72,323.564,5,375.88,3.32,21.84,1955.384,12.04,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,168.8154959,124.0147432,121.679908
1763,4344,Eastern Cape_3300_2440,3300_2440,Sundays Thicket,5235.6498,3926,88,1,0,Buffer,Albany Thicket,6,140,451.0996,34.84,1892.52,299.016,4.2,217.36,9.32,23.64,2378.2041,12,6450.1,4625.1,11.3,23.2,0.25,0,-85.6,56.54397864,32.12239465,47.84349486
1764,4345,Eastern Cape_3300_2445,3300_2445,Sundays Thicket,5235.6498,4322,95,1,0,221 ER,Albany Thicket,6,214,410.553,33.8,1874.84,257.608,4.52,220.64,6.48,23.72,2356.124,12,6733.7,4908.7,11.7,24.2,0.223,0,-94.8,92.89382412,54.98649272,74.1720971
