PENTAD,PENTAD ID,POINT SITE FARM,BioGaps Track No,Family,Genus,SPECIES,NO_SPEC,DETERMINED,Country,Prov,Distr,Locality,QDS,LAT1,LONG1,LATDEC1,LONDEC1,LAT2,LONG2,LATDEC2,LONDEC2,ALT,DD1,MM1,YYYY1,DD2,MM2,YYYY2,Collectors,MAIN VEGETATION TYPE,BIOREGION,GENERAL HABITAT,COLLECTION METHOD,WEATHER AT NIGHT,SPECIMEN DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 19:31:27 LP,Hormuridae,Hadogenes,Hadogenes sp.,5,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","two females, several juveniles collected in rock crevices, mostly sandstone, during daytime, rest observed doorkeeping in rock crevices with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 19:31:27 LP,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,5,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in scrapes under stones during daytime, more commonly observed sitting on ground in rocky areas and along banks of dry riverbed with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 19:37:31 RC,Hormuridae,Hadogenes,Hadogenes sp.,3,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","two females, several juveniles collected in rock crevices, mostly sandstone, during daytime, rest observed doorkeeping in rock crevices with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 19:37:31 RC,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,12,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in scrapes under stones during daytime, more commonly observed sitting on ground in rocky areas and along banks of dry riverbed with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:27 LP,Buthidae,Parabuthus,Parabuthus capensis,3,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","few walking on ground, mostly in open, gravelly areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:27 LP,Buthidae,Uroplectes,Uroplectes gracilior,4,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","few sitting on bushes in open, gravelly areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:27 LP,Buthidae,Uroplectes,Uroplectes schlechteri,4,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in rocky areas along riverbed, sitting/walking on ground/bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:27 LP,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,17,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in scrapes under stones during daytime, more commonly observed sitting on ground in rocky areas and along banks of dry riverbed with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:37 RC,Buthidae,Parabuthus,Parabuthus schlechteri,1,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","walking on ground in open, gravelly area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:37 RC,Buthidae,Uroplectes,Uroplectes gracilior,1,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","few sitting on bushes in open, gravelly areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
