PENTAD,PENTAD ID,POINT SITE FARM,BioGaps Track No,Family,Genus,SPECIES,NO_SPEC,DETERMINED,Country,Prov,Distr,Locality,QDS,LAT1,LONG1,LATDEC1,LONDEC1,LAT2,LONG2,LATDEC2,LONDEC2,ALT,DD1,MM1,YYYY1,DD2,MM2,YYYY2,Collectors,MAIN VEGETATION TYPE,BIOREGION,GENERAL HABITAT,COLLECTION METHOD,WEATHER AT NIGHT,SPECIMEN DATA
3300_2455,1766,Good Luck,2018-03-13 18:39:31 LP1,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,1,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.406'S,24°58.264'E,-33.0401,24.97106667,,,,,299 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","day, burrow excavation",,specimen excavated from deep (ca. 50 cm) burrow in open ground
3300_2455,1766,Good Luck,2018-03-13 19:12:48 LP2,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,2,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.568'S,24°58.042'E,-33.0428,24.96736667,,,,,296 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","day, burrow excavation; night, UV light detection","warm, dark, windy night","female specimens excavated from deep burrows (ca. 40–50 cm) in open ground during daytime, immatures collected with UV light detection at night, sitting on ground/vegetation"
3300_2455,1766,Good Luck,2018-03-13 19:12:54 MC1,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,2,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.568'S,24°58.042'E,-33.0428,24.96736667,,,,,296 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","day, burrow excavation; night, UV light detection","warm, dark, windy night","female specimens excavated from deep burrows (ca. 40–50 cm) in open ground during daytime, immatures collected with UV light detection at night, sitting on ground/vegetation"
3300_2455,1766,Good Luck,2018-03-13 20:20:16 MC2,Buthidae,Parabuthus,Parabuthus capensis,14,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.671'S,24°57.956'E,-33.04451667,24.96593333,,,,,293 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night","very common, running on ground, male and female mating, one female predating on Opistophthalmus pictus male"
3300_2455,1766,Good Luck,2018-03-13 20:20:16 MC2,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,1,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.671'S,24°57.956'E,-33.04451667,24.96593333,,,,,293 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night","several females and immatures sitting on ground or vegetation (immatures), one female found dead, male predated on by Parabuthus capensis"
3300_2455,1766,Good Luck,2018-03-13 20:28:25 LP3,Buthidae,Parabuthus,Parabuthus capensis,41,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.671'S,24°57.956'E,-33.04451667,24.96593333,,,,,293 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night","very common, running on ground, male and female mating, one female predating on Opistophthalmus pictus male"
3300_2455,1766,Good Luck,2018-03-13 20:28:25 LP3,Buthidae,Parabuthus,Parabuthus granulatus,1,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.671'S,24°57.956'E,-33.04451667,24.96593333,,,,,293 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night",running on ground
3300_2455,1766,Good Luck,2018-03-13 20:28:25 LP3,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,14,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.671'S,24°57.956'E,-33.04451667,24.96593333,,,,,293 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night","several females and immatures sitting on ground or vegetation (immatures), one female found dead, male predated on by Parabuthus capensis"
3300_2455,1766,Good Luck,2018-03-13 20:56:09 LP4,Buthidae,Parabuthus,Parabuthus capensis,4,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.568'S,24°58.042'E,-33.0428,24.96736667,,,,,296 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","night, UV light detection","warm, dark, windy night",specimens running on ground
3300_2455,1766,Good Luck,2018-03-13 20:56:09 LP4,Scorpionidae,Opistophthalmus,Opistophthalmus pictus,10,"L. Prendini, 2018",South Africa,Eastern Cape Province,Jansenville District,Farm Good Luck 161,3324BB,33°02.568'S,24°58.042'E,-33.0428,24.96736667,,,,,296 m,13,3,2018,,,,L. Prendini & M. Cooper,Sundays Noorsveld,Albany Thicket,"Nama Karoo on flat plain with pans, Sundays River floodplain, scattered Acacia karoo trees, small bushes (including Salsola) and mesembryanthemaceous matts, on hard, yellowish clayey-loam","day, burrow excavation; night, UV light detection","warm, dark, windy night","female specimens excavated from deep burrows (ca. 40–50 cm) in open ground during daytime, immatures collected with UV light detection at night, sitting on ground/vegetation"
